tableName,tableId,permission,feature
Other Name,otherName,LIST_OTHERNAME,
Other Name Category,otherNameCategory,ADMI_ACCOUNTINGLIST,
Other Name-Subsidiary Relationship,OtherNameSubsidiaryRelationship,LIST_OTHERNAME,Subsidiaries
Outbound Requests,outboundRequest,LIST_OUTBOUNDREQUEST,
Overhead Type,overheadType,,
Packages,ShippingPackage,TRAN_ITEMSHIP,Advanced Shipping
Partner,Partner,LIST_PARTNER,
Partner-Subsidiary Relationship,PartnerSubsidiaryRelationship,LIST_PARTNER,Subsidiaries
Partner System,PartnerSystem,,
Payment Card,paymentCard,LIST_PAYMENT_CARD,Credit Card Payments
Payment Card BIN,paymentCardBin,,
Payment Card Token,paymentCardToken,LIST_PAYMENT_CARD_TOKEN,Credit Card Payments
Payment Event,paymentEvent,TRAN_PAYMENTEVENT,Credit Card Payments
Payment Gateway Asynchronous Notifications,gatewayNotification,TRAN_GATEWAYNOTIFICATION,Credit Card Payments
Payment Gateway Plugin,paymentGatewayPlugin,ADMI_CUSTOMSCRIPT,
Payment Initiator,paymentInitiator,,
Payment Method,paymentMethod,ADMI_ACCOUNTINGLIST,
Payment Processing Profile,PaymentProcessingProfile,ADMI_CREDITCARD,
Payment Result Preview,paymentResultPreview,TRAN_PAYMENTRESULTPREVIEW,Credit Card Payments
Payment Status,paymentStatus,,
Payment Status Reason,paymentStatusReason,,
Payroll Item,payrollItem,LIST_PAYROLLITEM,
Payroll Item Type,payItemType,,
PDF Template,PdfTemplate,LIST_PDFTEMPLATE,Mail Merge
Period Closing Task,PeriodClosingTask,ADMI_ACCTPERIODS,Accounting Periods
Periods of Supply Type,ItemPeriodicLotSizeType,,
Phone Call,PhoneCall,LIST_CALL,
Pick Task Inventory Balance,PickTaskInventoryBalance,,Advanced Bin/Numbered Inventory Management
Planned Revenue Type,plannedRevenueType,LIST_REVENUEPLAN,
Planned Standard Cost,plannedStandardCost,LIST_PLANNEDSTANDARDCOST,Standard Costing
Plan Type,RetirementPlanType,,
Platform Extension Plug-in,platformExtensionPlugin,ADMI_CUSTOMSCRIPT,
Portlet,portlet,ADMI_CUSTOMSCRIPT,
Portlet Deployment,portletDeployment,ADMI_CUSTOMSCRIPT,
Posting Account Activity,PostingAccountActivity,LIST_ACCOUNT,Accounting
Price Level,priceLevel,ADMI_ACCOUNTINGLIST,Multiple Prices
Price Using,priceUsingType,,
Pricing,pricing,LIST_ITEM,
Pricing Group,pricingGroup,ADMI_ACCOUNTINGLIST,Quantity Pricing
Pricing Model,PriceModelType,LIST_PRICEPLAN,Advanced Billing
Pricing per Customer,pricingWithCustomers,LIST_ITEM,
Project,job,LIST_JOB,Projects
Project Resource Available Time,ProjectResourceAvailableTime,TRAN_TIMEBILL,Project Management
Project Resource Role,JobResourceRole,ADMI_EMPLOYEELIST,
Project Revenue Rule,revRecEventPRevRule,LIST_PROJECTREVENUERULE,
Project Revenue Rule Type,projectRevenueRuleType,LIST_REVENUEPLAN,
Project Status,JobStatus,ADMI_ACCOUNTINGLIST,
Project Task,projectTask,LIST_PROJECTTASK,Project Management
Project Task Constraint Type,projectTaskConstraintType,LIST_PROJECTTASK,Project Management
Project Template,projectTemplate,LIST_PROJECTTEMPLATE,Project Management
Project Template-Subsidiary Relationship,ProjectTemplateSubsidiaryRelationship,LIST_PROJECTTEMPLATE,Project Management and Subsidiaries
Project Time Approval Type,ProjectTimeApprovalType,LIST_JOB,
Project Type,JobType,ADMI_ACCOUNTINGLIST,
Promotion,promotionCode,LIST_PROMOTIONCODE,Promotion Codes
Promotions Plugin,promotionsPlugin,ADMI_CUSTOMSCRIPT,
Published Saved Search,PublishedSavedSearch,LIST_PRESCATEGORY,Intranet
Purpose,ratableEventPurpose,LIST_REVENUEPLAN,
Quantity Pricing Schedule,QuantityPricingSchedule,LIST_QUANTITYPRICINGSCHEDULE,Quantity Pricing
Quota,Quota,TRAN_QUOTA,
Reason,ApplicabilityReasonType,LIST_PROMOTIONCODE,
Recent Records,RecentRecord,,
Recommendation Blocklist,RecSysBlocklist,ADMI_RECSYS,Intelligent Recommendations
Recommendation Scenario,RecSysScenario,ADMI_RECSYS,Intelligent Recommendations
Record Field,UmdField,ADMI_ANALYTICS,
RECORDLABEL.permissionlevel,permissionLevel,,
RECORDLABEL.permissiontype,PermissionType,,
RECORDLABEL.terminationregretted,Terminationregretted,,
Record Type,ScriptCustomRecordType,ADMI_CUSTOMSCRIPT,
Record Type,ScriptRecordType,ADMI_CUSTOMSCRIPT,
Recurrence Pattern,billingScheduleRecurrencePattern,LIST_BILLINGSCHEDULE,Advanced Billing
Reforecast Method,reforecastMethod,LIST_REVENUERECOGNITIONRULE,
Release Frequency,OrderFrequencyType,TRAN_BLANKORD,
Replenishment Method,SupplyReplenishmentType,,
